"","PID","crt","mean_honesty_rating","lie_detect_dprime","lie_prop","age","gender","ed_lev","(Intercept)","normed_signed_e_v","normed_unsigned_e_v","subject_liedTRUE","subject_lostTRUE"
"68","606c9e1647fee0e506367aa2",1,2.96666666666667,0.148934319196728,0.411111111111111,49,0,3,0,0.531754422153244,0.252250177218437,0.0575038565017699,-0.0731588910692272
"69","606f3f493aaf55785016c33c",3,4,0,0,31,0,5,0,0.382383502896112,0.306054621275392,NA,-0.048176282646658
"70","60849f67b844d7d15447ce33",1,2.75555555555556,0.147741669919536,0.544444444444444,32,0.5,2,0,0.433406330292744,0.204468461257243,0.0175776820408797,0.0772414686736523
"71","608db844ab2dfce10e0af300",0,2.23333333333333,0.00782355319393935,0.455555555555556,21,1,3,0,0.364528107691034,0.319577941700023,0.0527626818388734,0.0133251096003078
"72","6093e79630fb5907d056a0da",3,2.75555555555556,0.077104963564244,0.655555555555556,20,0,3,0,0.111385979262989,0.506525306742648,0.00943463036554831,0.0942187234738679
"73","60a7d66f9d0072607d4f4853",3,2.82222222222222,0.121736231798078,0.233333333333333,20,1,3,0,0.390919714125508,0.20280146319469,0.0134709945864441,0.128691755533711
"74","60b8f470036424e02185689b",3,3.04444444444444,0.120006848599565,0.444444444444444,23,0,1,0,0.2675953839812,0.469731001444046,-0.0801269897923104,-0.211482049415709
"75","60b91e026710e9a6e50e96e6",0,3.02222222222222,0.0177118098986339,0.6,27,1,8,0,0.514723609465802,0.329212806900199,-0.115235598537247,-0.0133133144630455
"76","60bb3b463887c2f9d1385cce",2,2.78888888888889,0.0332798188987208,0.166666666666667,29,0,4,0,0.386015115673025,0.31755831359671,-0.118009104031414,-0.100677229316553
"77","60d09247c08c4e9995cb533f",1,3.25555555555556,0.112336819313179,0.0111111111111111,20,1,6,0,0.408816110250547,0.383342982620677,-0.0137781077592619,-0.0736983552728892
"78","60d0fd171641cb791126cf93",2,3.7,0.0962724351342437,0.344444444444444,20,1,2,0,0.191537176358108,0.422112130778051,0.00715314599909972,-0.0187029965594375
"79","60db2ef9dcfd84248e875aba",1,3.52222222222222,0.119332707593794,0.0111111111111111,27,1,5,0,0.297604023072562,0.290321483342807,0.0466223108584485,0.174280825540748
"80","60ddc1574e565fba304a2baf",3,2.72222222222222,0.19094105745923,0.366666666666667,24,1,5,0,0.360697541305649,0.415464044883442,-0.104264743697425,-0.122693014020135
"81","60ddfd9a044c8d3efb0fb6be",2,2.12222222222222,0.096683068647087,0.611111111111111,21,1,5,0,0.309970339334109,0.355270884514765,0.00211626800986895,0.0291013789297558
"82","60df9d56277451ffa57e4827",4,2.34444444444444,0.0534713130390772,0.0555555555555556,23,1,6,0,0.434629278538584,0.311456232046942,0.0779907547666617,0.0940826091030527
"83","60e46e8355c9d61cbb859df0",1,2.81111111111111,0.10296627731835,0.311111111111111,33,0,4,0,0.206503451189344,0.447645142025682,0.0817011152538579,0.0818228238716567
"84","60f3fe4c353684030f9eb509",3,2.94444444444444,0.0858781669899302,0.0111111111111111,52,0,9,0,0.400521065586374,0.171585028391201,-0.177998318521903,0.196916194395105
"85","60facab06efaa9f257c2991a",3,2.98888888888889,0.182878026861415,0.4,27,0,5,0,0.46059769989096,0.274347118382112,-0.014176995088444,-0.0300451764533417
"86","60fd01d19defe86cbe2d4c3c",2,2.22222222222222,0.0829140472128689,0.544444444444444,18,1,3,0,0.441742495281118,0.134045119050473,0.0932366067210918,0.129615706182568
"87","60fd1ef14b9926d74181569e",1,2.32222222222222,0.088691616266472,0.522222222222222,19,1,2,0,0.349792664850516,0.412309687057506,-0.0464259001765283,-0.0277797202417687
"88","60fd3c18e7206376776de93f",0,2.44444444444444,0.0499017920245659,0.5,22,1,3,0,0.373761355382414,0.389268070721252,-0.0774431250249592,-0.0004070150949256
"89","60ff06fccbecd2bbabc457bd",1,2.94444444444444,-0.00885153184324527,0.577777777777778,54,1,5,0,0.480235342053716,0.320743816263649,0.0137983985511581,-0.134449165514737
"90","610063be7b33f9cc316a3425",4,3.7,0,0.1,22,1,5,0,0.657171748610212,0.226829495437456,-0.047270079712763,-0.187510094707683
"91","61059ae3e280dd20c9d838de",1,2.68888888888889,0.106541883322052,0.588888888888889,31,1,6,0,0.235735209031495,0.489041174945578,0.00151564380805366,-0.0735621372164869
"92","6107b1aab5f6c41e097b3e5c",2,3.46666666666667,0,0.5,32,1,8,0,0.293572435010382,0.412857237111489,-0.0814153634793757,-0.0916899466736829
"93","610c09df29b515aa70c94e21",4,2.9,-0.00885153184324527,0.588888888888889,18,1,2,0,0.277585288815114,0.504066072066634,-0.0594818358906899,-0.0898245637794675
"94","6118d95a99af15fb1ebecaea",1,3.17777777777778,0.0766509084110225,0.455555555555556,49,1,4,0,0.46196319032676,0.271639261287246,0.0835693411366843,-0.0417874333342468
"95","61225b292b9d799c383e02d1",4,2.91111111111111,0.0750826686440177,0.522222222222222,18,0,3,0,0.321387868732278,0.225486413264377,0.274368788922763,0.137748624211042
"96","6123b12f54cc7365f7dbb80d",1,3.54444444444444,0.0699802237737319,0,43,1,5,0,0.565750591959141,0.126065330195553,NA,-0.00958384783656206
"97","6124a2f677a0a64964262351",0,2.51111111111111,0.0534713130390772,0.177777777777778,26,1,6,0,0.203240767960536,0.276804204530513,-0.20175985409806,0.0682510714024055
